Episode,Loss,Reward,Quality,Rebuffer,Switch
117,1.10936050,4212.63,409.88,5.4251,1.1750
118,1.31676462,5529.47,410.38,4.9947,1.1250
119,1.68320292,5687.88,408.87,4.9170,0.9500
120,1.26740613,-408.12,412.80,7.0137,1.4500
121,1.28983676,6554.99,415.72,4.7412,1.5250
122,1.28212446,1763.05,411.51,6.2677,1.8500
123,1.46902090,7508.01,409.94,4.3271,1.5500
124,1.47165029,5861.94,412.88,4.9240,2.0500
125,1.23080341,9882.05,411.04,3.5547,1.1000
126,1.14395993,9871.52,411.97,3.5670,5.1500
127,1.66368969,5209.93,410.73,5.1015,4.4000
128,1.29373029,7184.00,408.13,4.4019,3.3250
129,1.28030330,8009.94,410.36,4.1618,4.5500
130,1.19714930,7433.77,407.82,4.3118,4.3250
131,1.24044408,2121.71,411.92,6.1543,2.2750
132,1.40256676,3205.45,413.10,5.8139,1.5750
133,1.48491205,1300.96,415.88,6.4943,1.9750
134,1.19423512,3854.60,413.89,5.6110,1.4000
135,1.26532501,8713.45,407.28,3.8772,3.8250
136,1.14219781,7965.52,408.76,4.1537,2.3000
137,1.10064204,5348.51,410.67,5.0556,3.6000
138,1.34759930,-1895.04,410.13,7.4610,3.6750
139,1.39741138,9875.50,408.71,3.5153,2.8250
140,1.38114187,7142.28,409.21,4.4377,1.0500
141,1.47766575,4071.88,408.83,5.4537,1.7500
142,1.37347899,661.72,406.81,6.5507,5.3500
143,1.33174305,7756.98,407.28,4.1941,4.9500
144,1.44773304,7693.35,404.78,4.1727,5.5250
145,1.32093752,1527.14,406.07,6.2522,4.0000
146,1.20938025,4266.29,406.22,5.3410,4.3500
147,1.34233586,3334.68,406.95,5.6633,4.5500
148,1.35565603,2410.96,407.90,5.9864,4.9750
149,1.51658690,8305.68,403.13,3.9423,4.8000
150,1.63053098,6018.81,399.66,4.6376,10.2750
151,1.21121611,5251.57,410.98,5.0903,5.3000
152,1.29678872,4557.15,407.28,5.2596,5.6000
153,1.46880384,4223.86,401.49,5.2716,7.2000
